file,pooling,split,seed,balanced,module,key,rows,cols,min_dim,effective_rank,rank_fraction,stable_rank,sigma_max
attention_genus_s0.pt,attention,genus,0,0,head,heads.pathogenicity_human.weight,1,256,1,1.0,1.0,1.0,1.4467
attention_genus_s0.pt,attention,genus,0,0,head,heads.pathogenicity_animal.weight,1,256,1,1.0,1.0,1.0,1.4447
attention_genus_s0.pt,attention,genus,0,0,head,heads.isolation_source.weight,20,256,20,8.1327,0.4066,2.1843,5.6188
attention_genus_s0.pt,attention,genus,0,0,head,heads.country.weight,100,256,100,14.8288,0.1483,2.1435,14.0746
attention_genus_s0.pt,attention,genus,0,0,head,heads.fatty_acid_profile.weight,30,256,30,23.569,0.7856,11.0939,0.4493
attention_genus_s1.pt,attention,genus,1,0,pool,pool.score.0.weight,640,640,640,6.3345,0.0099,1.3388,30.654
attention_genus_s1.pt,attention,genus,1,0,pool,pool.score.2.weight,1,640,1,1.0,1.0,1.0,1.1927
attention_genus_s1.pt,attention,genus,1,0,encoder,encoder.0.weight,512,640,512,33.6392,0.0657,7.6862,14.449
attention_genus_s1.pt,attention,genus,1,0,encoder,encoder.3.weight,256,512,256,57.15,0.2232,10.2125,6.0288
attention_genus_s1.pt,attention,genus,1,0,head,heads.gram_stain.weight,3,256,3,2.4381,0.8127,1.715,1.6998
attention_genus_s1.pt,attention,genus,1,0,head,heads.cell_shape.weight,7,256,7,5.6071,0.801,2.9133,2.2272
attention_genus_s1.pt,attention,genus,1,0,head,heads.motility.weight,1,256,1,1.0,1.0,1.0,1.2046
attention_genus_s1.pt,attention,genus,1,0,head,heads.sporulation.weight,1,256,1,1.0,1.0,1.0,1.6584
attention_genus_s1.pt,attention,genus,1,0,head,heads.pigmentation.weight,1,256,1,1.0,1.0,1.0,0.7266
attention_genus_s1.pt,attention,genus,1,0,head,heads.oxygen_tolerance.weight,6,256,6,4.258,0.7097,2.046,2.3901
attention_genus_s1.pt,attention,genus,1,0,head,heads.catalase.weight,1,256,1,1.0,1.0,1.0,1.3191
attention_genus_s1.pt,attention,genus,1,0,head,heads.cytochrome_oxidase.weight,1,256,1,1.0,1.0,1.0,1.356
attention_genus_s1.pt,attention,genus,1,0,head,heads.halophily.weight,4,256,4,3.3785,0.8446,1.9646,1.2251
attention_genus_s1.pt,attention,genus,1,0,head,heads.temperature_class.weight,5,256,5,3.9329,0.7866,2.4925,2.2217
attention_genus_s1.pt,attention,genus,1,0,head,heads.ph_class.weight,3,256,3,2.4392,0.8131,1.5506,1.105
attention_genus_s1.pt,attention,genus,1,0,head,heads.cultivation_medium.weight,200,256,200,7.884,0.0394,1.6164,27.6398
attention_genus_s1.pt,attention,genus,1,0,head,heads.carbon_utilization.weight,80,256,80,33.6769,0.421,5.7483,3.7321
attention_genus_s1.pt,attention,genus,1,0,head,heads.metabolite_production.weight,50,256,50,18.2656,0.3653,2.7835,4.3409
attention_genus_s1.pt,attention,genus,1,0,head,heads.amr_phenotype.weight,30,256,30,16.2974,0.5432,4.2586,3.0808
attention_genus_s1.pt,attention,genus,1,0,head,heads.biosafety_level.weight,4,256,4,2.8208,0.7052,1.6802,2.6975
attention_genus_s1.pt,attention,genus,1,0,head,heads.pathogenicity_human.weight,1,256,1,1.0,1.0,1.0,1.4053
attention_genus_s1.pt,attention,genus,1,0,head,heads.pathogenicity_animal.weight,1,256,1,1.0,1.0,1.0,1.499
attention_genus_s1.pt,attention,genus,1,0,head,heads.isolation_source.weight,20,256,20,8.1957,0.4098,2.255,5.5484
attention_genus_s1.pt,attention,genus,1,0,head,heads.country.weight,100,256,100,14.9746,0.1497,2.1757,14.0896
attention_genus_s1.pt,attention,genus,1,0,head,heads.fatty_acid_profile.weight,30,256,30,25.3624,0.8454,11.5149,0.4957
attention_genus_s2.pt,attention,genus,2,0,pool,pool.score.0.weight,640,640,640,5.7684,0.009,1.3081,31.7224
attention_genus_s2.pt,attention,genus,2,0,pool,pool.score.2.weight,1,640,1,1.0,1.0,1.0,1.2648
attention_genus_s2.pt,attention,genus,2,0,encoder,encoder.0.weight,512,640,512,34.9938,0.0683,7.8909,14.2542
attention_genus_s2.pt,attention,genus,2,0,encoder,encoder.3.weight,256,512,256,57.8188,0.2259,10.2946,6.1232
attention_genus_s2.pt,attention,genus,2,0,head,heads.gram_stain.weight,3,256,3,2.5148,0.8383,1.7725,1.6713
attention_genus_s2.pt,attention,genus,2,0,head,heads.cell_shape.weight,7,256,7,5.4563,0.7795,2.7198,2.3177
attention_genus_s2.pt,attention,genus,2,0,head,heads.motility.weight,1,256,1,1.0,1.0,1.0,1.1905
attention_genus_s2.pt,attention,genus,2,0,head,heads.sporulation.weight,1,256,1,1.0,1.0,1.0,1.597
attention_genus_s2.pt,attention,genus,2,0,head,heads.pigmentation.weight,1,256,1,1.0,1.0,1.0,0.7198
attention_genus_s2.pt,attention,genus,2,0,head,heads.oxygen_tolerance.weight,6,256,6,4.5697,0.7616,2.2073,2.1609
attention_genus_s2.pt,attention,genus,2,0,head,heads.catalase.weight,1,256,1,1.0,1.0,1.0,1.2894
attention_genus_s2.pt,attention,genus,2,0,head,heads.cytochrome_oxidase.weight,1,256,1,1.0,1.0,1.0,1.5249
attention_genus_s2.pt,attention,genus,2,0,head,heads.halophily.weight,4,256,4,3.3748,0.8437,2.0166,1.3255
attention_genus_s2.pt,attention,genus,2,0,head,heads.temperature_class.weight,5,256,5,4.0232,0.8046,2.6442,2.0627
attention_genus_s2.pt,attention,genus,2,0,head,heads.ph_class.weight,3,256,3,2.3398,0.7799,1.4805,1.182
attention_genus_s2.pt,attention,genus,2,0,head,heads.cultivation_medium.weight,200,256,200,8.2875,0.0414,1.6113,26.6808
attention_genus_s2.pt,attention,genus,2,0,head,heads.carbon_utilization.weight,80,256,80,33.0031,0.4125,5.6331,3.8455
attention_genus_s2.pt,attention,genus,2,0,head,heads.metabolite_production.weight,50,256,50,18.9416,0.3788,2.8397,4.2951
attention_genus_s2.pt,attention,genus,2,0,head,heads.amr_phenotype.weight,30,256,30,16.9464,0.5649,4.4656,3.0446
attention_genus_s2.pt,attention,genus,2,0,head,heads.biosafety_level.weight,4,256,4,2.8445,0.7111,1.6938,2.5126
attention_genus_s2.pt,attention,genus,2,0,head,heads.pathogenicity_human.weight,1,256,1,1.0,1.0,1.0,1.3715
attention_genus_s2.pt,attention,genus,2,0,head,heads.pathogenicity_animal.weight,1,256,1,1.0,1.0,1.0,1.3749
attention_genus_s2.pt,attention,genus,2,0,head,heads.isolation_source.weight,20,256,20,9.1666,0.4583,2.5649,4.9649
attention_genus_s2.pt,attention,genus,2,0,head,heads.country.weight,100,256,100,16.2864,0.1629,2.2663,13.6913
attention_genus_s2.pt,attention,genus,2,0,head,heads.fatty_acid_profile.weight,30,256,30,24.0619,0.8021,10.4882,0.4963
attention_species_s0.pt,attention,species,0,0,pool,pool.score.0.weight,640,640,640,6.9946,0.0109,1.3375,28.43
attention_species_s0.pt,attention,species,0,0,pool,pool.score.2.weight,1,640,1,1.0,1.0,1.0,1.1829
attention_species_s0.pt,attention,species,0,0,encoder,encoder.0.weight,512,640,512,36.7784,0.0718,8.0977,13.1276
attention_species_s0.pt,attention,species,0,0,encoder,encoder.3.weight,256,512,256,61.2422,0.2392,9.9156,5.8376
attention_species_s0.pt,attention,species,0,0,head,heads.gram_stain.weight,3,256,3,2.2959,0.7653,1.4997,1.676
attention_species_s0.pt,attention,species,0,0,head,heads.cell_shape.weight,7,256,7,5.8019,0.8288,3.0264,1.8134
