file,pooling,split,seed,balanced,module,key,rows,cols,min_dim,effective_rank,rank_fraction,stable_rank,sigma_max
mean_family_s1.pt,mean,family,1,0,head,heads.pigmentation.weight,1,256,1,1.0,1.0,1.0,0.7461
mean_family_s1.pt,mean,family,1,0,head,heads.oxygen_tolerance.weight,6,256,6,3.8492,0.6415,1.8063,2.8905
mean_family_s1.pt,mean,family,1,0,head,heads.catalase.weight,1,256,1,1.0,1.0,1.0,1.3609
mean_family_s1.pt,mean,family,1,0,head,heads.cytochrome_oxidase.weight,1,256,1,1.0,1.0,1.0,1.5548
mean_family_s1.pt,mean,family,1,0,head,heads.halophily.weight,4,256,4,3.1285,0.7821,1.7567,1.3835
mean_family_s1.pt,mean,family,1,0,head,heads.temperature_class.weight,5,256,5,3.575,0.715,2.0238,2.5077
mean_family_s1.pt,mean,family,1,0,head,heads.ph_class.weight,3,256,3,2.522,0.8407,1.6125,1.0119
mean_family_s1.pt,mean,family,1,0,head,heads.cultivation_medium.weight,200,256,200,6.9746,0.0349,1.5785,28.7194
mean_family_s1.pt,mean,family,1,0,head,heads.carbon_utilization.weight,80,256,80,28.9396,0.3617,4.3595,4.4767
mean_family_s1.pt,mean,family,1,0,head,heads.metabolite_production.weight,50,256,50,14.9334,0.2987,2.4951,4.9234
mean_family_s1.pt,mean,family,1,0,head,heads.amr_phenotype.weight,30,256,30,16.9729,0.5658,4.5175,2.9813
mean_family_s1.pt,mean,family,1,0,head,heads.biosafety_level.weight,4,256,4,2.785,0.6963,1.6213,2.8878
mean_family_s1.pt,mean,family,1,0,head,heads.pathogenicity_human.weight,1,256,1,1.0,1.0,1.0,1.5832
mean_family_s1.pt,mean,family,1,0,head,heads.pathogenicity_animal.weight,1,256,1,1.0,1.0,1.0,1.6887
mean_family_s1.pt,mean,family,1,0,head,heads.isolation_source.weight,20,256,20,9.1432,0.4572,2.6548,5.0476
mean_family_s1.pt,mean,family,1,0,head,heads.country.weight,100,256,100,14.5285,0.1453,2.194,13.7926
mean_family_s1.pt,mean,family,1,0,head,heads.fatty_acid_profile.weight,30,256,30,25.0653,0.8355,12.8454,0.5148
mean_family_s1_balancedfamilies.pt,mean,family,1,1,encoder,encoder.0.weight,512,640,512,19.7895,0.0387,4.6686,23.7939
mean_family_s1_balancedfamilies.pt,mean,family,1,1,encoder,encoder.3.weight,256,512,256,36.7417,0.1435,8.4482,8.337
mean_family_s1_balancedfamilies.pt,mean,family,1,1,head,heads.gram_stain.weight,3,256,3,2.4454,0.8151,1.8434,1.8756
mean_family_s1_balancedfamilies.pt,mean,family,1,1,head,heads.cell_shape.weight,7,256,7,5.8977,0.8425,3.6147,2.3853
mean_family_s1_balancedfamilies.pt,mean,family,1,1,head,heads.motility.weight,1,256,1,1.0,1.0,1.0,1.4912
mean_family_s1_balancedfamilies.pt,mean,family,1,1,head,heads.sporulation.weight,1,256,1,1.0,1.0,1.0,2.4589
mean_family_s1_balancedfamilies.pt,mean,family,1,1,head,heads.pigmentation.weight,1,256,1,1.0,1.0,1.0,1.5525
mean_family_s1_balancedfamilies.pt,mean,family,1,1,head,heads.oxygen_tolerance.weight,6,256,6,4.822,0.8037,2.5685,2.604
mean_family_s1_balancedfamilies.pt,mean,family,1,1,head,heads.catalase.weight,1,256,1,1.0,1.0,1.0,1.8032
mean_family_s1_balancedfamilies.pt,mean,family,1,1,head,heads.cytochrome_oxidase.weight,1,256,1,1.0,1.0,1.0,1.6953
mean_family_s1_balancedfamilies.pt,mean,family,1,1,head,heads.halophily.weight,4,256,4,3.3553,0.8388,2.4284,1.7958
mean_family_s1_balancedfamilies.pt,mean,family,1,1,head,heads.temperature_class.weight,5,256,5,4.1675,0.8335,2.3689,2.5044
mean_family_s1_balancedfamilies.pt,mean,family,1,1,head,heads.ph_class.weight,3,256,3,2.3,0.7667,1.5345,1.7753
mean_family_s1_balancedfamilies.pt,mean,family,1,1,head,heads.cultivation_medium.weight,200,256,200,8.4228,0.0421,1.6646,28.9216
mean_family_s1_balancedfamilies.pt,mean,family,1,1,head,heads.carbon_utilization.weight,80,256,80,32.6157,0.4077,7.2794,4.645
mean_family_s1_balancedfamilies.pt,mean,family,1,1,head,heads.metabolite_production.weight,50,256,50,18.8842,0.3777,2.9179,4.0804
mean_family_s1_balancedfamilies.pt,mean,family,1,1,head,heads.amr_phenotype.weight,30,256,30,17.9386,0.598,5.5717,3.3417
mean_family_s1_balancedfamilies.pt,mean,family,1,1,head,heads.biosafety_level.weight,4,256,4,2.8197,0.7049,1.6805,2.8453
mean_family_s1_balancedfamilies.pt,mean,family,1,1,head,heads.pathogenicity_human.weight,1,256,1,1.0,1.0,1.0,1.7199
mean_family_s1_balancedfamilies.pt,mean,family,1,1,head,heads.pathogenicity_animal.weight,1,256,1,1.0,1.0,1.0,1.8762
mean_family_s1_balancedfamilies.pt,mean,family,1,1,head,heads.isolation_source.weight,20,256,20,8.6054,0.4303,2.2628,5.5891
mean_family_s1_balancedfamilies.pt,mean,family,1,1,head,heads.country.weight,100,256,100,16.1549,0.1615,2.1932,15.3243
mean_family_s1_balancedfamilies.pt,mean,family,1,1,head,heads.fatty_acid_profile.weight,30,256,30,23.6617,0.7887,11.6094,0.582
mean_family_s2.pt,mean,family,2,0,encoder,encoder.0.weight,512,640,512,20.4111,0.0399,5.933,18.4114
mean_family_s2.pt,mean,family,2,0,encoder,encoder.3.weight,256,512,256,40.8979,0.1598,7.2568,7.5327
mean_family_s2.pt,mean,family,2,0,head,heads.gram_stain.weight,3,256,3,2.2729,0.7576,1.4772,1.7457
mean_family_s2.pt,mean,family,2,0,head,heads.cell_shape.weight,7,256,7,5.7088,0.8155,2.8812,2.1489
mean_family_s2.pt,mean,family,2,0,head,heads.motility.weight,1,256,1,1.0,1.0,1.0,1.343
mean_family_s2.pt,mean,family,2,0,head,heads.sporulation.weight,1,256,1,1.0,1.0,1.0,1.7806
mean_family_s2.pt,mean,family,2,0,head,heads.pigmentation.weight,1,256,1,1.0,1.0,1.0,0.7698
mean_family_s2.pt,mean,family,2,0,head,heads.oxygen_tolerance.weight,6,256,6,3.869,0.6448,1.8281,2.778
mean_family_s2.pt,mean,family,2,0,head,heads.catalase.weight,1,256,1,1.0,1.0,1.0,1.4398
mean_family_s2.pt,mean,family,2,0,head,heads.cytochrome_oxidase.weight,1,256,1,1.0,1.0,1.0,1.6173
mean_family_s2.pt,mean,family,2,0,head,heads.halophily.weight,4,256,4,3.0653,0.7663,1.7393,1.3957
mean_family_s2.pt,mean,family,2,0,head,heads.temperature_class.weight,5,256,5,3.6482,0.7296,2.0347,2.4872
mean_family_s2.pt,mean,family,2,0,head,heads.ph_class.weight,3,256,3,2.5218,0.8406,1.6164,1.0467
mean_family_s2.pt,mean,family,2,0,head,heads.cultivation_medium.weight,200,256,200,7.5189,0.0376,1.6124,27.4956
mean_family_s2.pt,mean,family,2,0,head,heads.carbon_utilization.weight,80,256,80,27.9786,0.3497,4.3593,4.5573
mean_family_s2.pt,mean,family,2,0,head,heads.metabolite_production.weight,50,256,50,14.5949,0.2919,2.4248,4.9598
mean_family_s2.pt,mean,family,2,0,head,heads.amr_phenotype.weight,30,256,30,16.9798,0.566,4.4339,2.9879
mean_family_s2.pt,mean,family,2,0,head,heads.biosafety_level.weight,4,256,4,2.7862,0.6966,1.6423,2.6688
mean_family_s2.pt,mean,family,2,0,head,heads.pathogenicity_human.weight,1,256,1,1.0,1.0,1.0,1.5873
mean_family_s2.pt,mean,family,2,0,head,heads.pathogenicity_animal.weight,1,256,1,1.0,1.0,1.0,1.7168
mean_family_s2.pt,mean,family,2,0,head,heads.isolation_source.weight,20,256,20,9.1969,0.4598,2.7065,4.9859
mean_family_s2.pt,mean,family,2,0,head,heads.country.weight,100,256,100,16.1236,0.1612,2.316,13.0112
mean_family_s2.pt,mean,family,2,0,head,heads.fatty_acid_profile.weight,30,256,30,25.0581,0.8353,13.301,0.4662
mean_family_s2_balancedfamilies.pt,mean,family,2,1,encoder,encoder.0.weight,512,640,512,20.0928,0.0392,4.9062,23.9174
mean_family_s2_balancedfamilies.pt,mean,family,2,1,encoder,encoder.3.weight,256,512,256,36.5956,0.143,8.4246,8.5454
mean_family_s2_balancedfamilies.pt,mean,family,2,1,head,heads.gram_stain.weight,3,256,3,2.3818,0.7939,1.6715,2.1244
mean_family_s2_balancedfamilies.pt,mean,family,2,1,head,heads.cell_shape.weight,7,256,7,5.7348,0.8193,3.0805,2.6097
mean_family_s2_balancedfamilies.pt,mean,family,2,1,head,heads.motility.weight,1,256,1,1.0,1.0,1.0,1.6336
mean_family_s2_balancedfamilies.pt,mean,family,2,1,head,heads.sporulation.weight,1,256,1,1.0,1.0,1.0,2.7147
mean_family_s2_balancedfamilies.pt,mean,family,2,1,head,heads.pigmentation.weight,1,256,1,1.0,1.0,1.0,1.7501
mean_family_s2_balancedfamilies.pt,mean,family,2,1,head,heads.oxygen_tolerance.weight,6,256,6,4.4734,0.7456,2.1954,3.0393
mean_family_s2_balancedfamilies.pt,mean,family,2,1,head,heads.catalase.weight,1,256,1,1.0,1.0,1.0,1.7863
mean_family_s2_balancedfamilies.pt,mean,family,2,1,head,heads.cytochrome_oxidase.weight,1,256,1,1.0,1.0,1.0,1.7142
mean_family_s2_balancedfamilies.pt,mean,family,2,1,head,heads.halophily.weight,4,256,4,3.3613,0.8403,2.2151,1.8886
mean_family_s2_balancedfamilies.pt,mean,family,2,1,head,heads.temperature_class.weight,5,256,5,4.1775,0.8355,2.3594,2.468
mean_family_s2_balancedfamilies.pt,mean,family,2,1,head,heads.ph_class.weight,3,256,3,2.3026,0.7675,1.487,1.8035
mean_family_s2_balancedfamilies.pt,mean,family,2,1,head,heads.cultivation_medium.weight,200,256,200,8.1695,0.0408,1.6332,29.6265
mean_family_s2_balancedfamilies.pt,mean,family,2,1,head,heads.carbon_utilization.weight,80,256,80,32.697,0.4087,6.8261,4.8504
mean_family_s2_balancedfamilies.pt,mean,family,2,1,head,heads.metabolite_production.weight,50,256,50,18.7105,0.3742,2.9013,4.0613
mean_family_s2_balancedfamilies.pt,mean,family,2,1,head,heads.amr_phenotype.weight,30,256,30,18.537,0.6179,5.5987,3.2641
mean_family_s2_balancedfamilies.pt,mean,family,2,1,head,heads.biosafety_level.weight,4,256,4,2.7704,0.6926,1.6108,2.8801
mean_family_s2_balancedfamilies.pt,mean,family,2,1,head,heads.pathogenicity_human.weight,1,256,1,1.0,1.0,1.0,1.7573
mean_family_s2_balancedfamilies.pt,mean,family,2,1,head,heads.pathogenicity_animal.weight,1,256,1,1.0,1.0,1.0,1.9185
mean_family_s2_balancedfamilies.pt,mean,family,2,1,head,heads.isolation_source.weight,20,256,20,7.8617,0.3931,2.0505,6.0331
mean_family_s2_balancedfamilies.pt,mean,family,2,1,head,heads.country.weight,100,256,100,16.4203,0.1642,2.2237,15.3977
mean_family_s2_balancedfamilies.pt,mean,family,2,1,head,heads.fatty_acid_profile.weight,30,256,30,23.6908,0.7897,11.4298,0.5791
mean_genus_s0.pt,mean,genus,0,0,encoder,encoder.0.weight,512,640,512,21.3845,0.0418,5.9501,18.3436
mean_genus_s0.pt,mean,genus,0,0,encoder,encoder.3.weight,256,512,256,40.5762,0.1585,7.4243,7.5392
mean_genus_s0.pt,mean,genus,0,0,head,heads.gram_stain.weight,3,256,3,2.2915,0.7638,1.5013,1.7902
mean_genus_s0.pt,mean,genus,0,0,head,heads.cell_shape.weight,7,256,7,5.7662,0.8237,3.1005,2.193
mean_genus_s0.pt,mean,genus,0,0,head,heads.motility.weight,1,256,1,1.0,1.0,1.0,1.3695
mean_genus_s0.pt,mean,genus,0,0,head,heads.sporulation.weight,1,256,1,1.0,1.0,1.0,1.7731
mean_genus_s0.pt,mean,genus,0,0,head,heads.pigmentation.weight,1,256,1,1.0,1.0,1.0,0.7923
mean_genus_s0.pt,mean,genus,0,0,head,heads.oxygen_tolerance.weight,6,256,6,4.4433,0.7406,2.1826,2.4176
mean_genus_s0.pt,mean,genus,0,0,head,heads.catalase.weight,1,256,1,1.0,1.0,1.0,1.464
mean_genus_s0.pt,mean,genus,0,0,head,heads.cytochrome_oxidase.weight,1,256,1,1.0,1.0,1.0,1.3889
mean_genus_s0.pt,mean,genus,0,0,head,heads.halophily.weight,4,256,4,3.2831,0.8208,1.8725,1.3499
mean_genus_s0.pt,mean,genus,0,0,head,heads.temperature_class.weight,5,256,5,3.9193,0.7839,2.6907,2.2208
mean_genus_s0.pt,mean,genus,0,0,head,heads.ph_class.weight,3,256,3,2.197,0.7323,1.3927,1.2588
mean_genus_s0.pt,mean,genus,0,0,head,heads.cultivation_medium.weight,200,256,200,9.1425,0.0457,1.7541,26.0175
mean_genus_s0.pt,mean,genus,0,0,head,heads.carbon_utilization.weight,80,256,80,29.0758,0.3634,4.7419,4.422
mean_genus_s0.pt,mean,genus,0,0,head,heads.metabolite_production.weight,50,256,50,16.6931,0.3339,2.5838,4.6834
mean_genus_s0.pt,mean,genus,0,0,head,heads.amr_phenotype.weight,30,256,30,16.0261,0.5342,4.3773,3.0928
mean_genus_s0.pt,mean,genus,0,0,head,heads.biosafety_level.weight,4,256,4,2.9259,0.7315,1.7429,2.6187
mean_genus_s0.pt,mean,genus,0,0,head,heads.pathogenicity_human.weight,1,256,1,1.0,1.0,1.0,1.6598
mean_genus_s0.pt,mean,genus,0,0,head,heads.pathogenicity_animal.weight,1,256,1,1.0,1.0,1.0,1.7534
mean_genus_s0.pt,mean,genus,0,0,head,heads.isolation_source.weight,20,256,20,8.9477,0.4474,2.6143,5.1672
mean_genus_s0.pt,mean,genus,0,0,head,heads.country.weight,100,256,100,16.3103,0.1631,2.3566,13.2941
mean_genus_s0.pt,mean,genus,0,0,head,heads.fatty_acid_profile.weight,30,256,30,24.3258,0.8109,12.3486,0.4726
mean_genus_s1.pt,mean,genus,1,0,encoder,encoder.0.weight,512,640,512,21.1349,0.0413,5.7685,18.5127
mean_genus_s1.pt,mean,genus,1,0,encoder,encoder.3.weight,256,512,256,40.8436,0.1595,7.3702,7.4773
mean_genus_s1.pt,mean,genus,1,0,head,heads.gram_stain.weight,3,256,3,2.4205,0.8068,1.7063,1.8313
mean_genus_s1.pt,mean,genus,1,0,head,heads.cell_shape.weight,7,256,7,5.7684,0.8241,3.0561,2.191
mean_genus_s1.pt,mean,genus,1,0,head,heads.motility.weight,1,256,1,1.0,1.0,1.0,1.3806
mean_genus_s1.pt,mean,genus,1,0,head,heads.sporulation.weight,1,256,1,1.0,1.0,1.0,1.8891
mean_genus_s1.pt,mean,genus,1,0,head,heads.pigmentation.weight,1,256,1,1.0,1.0,1.0,0.7568
mean_genus_s1.pt,mean,genus,1,0,head,heads.oxygen_tolerance.weight,6,256,6,4.7755,0.7959,2.4712,2.2271
mean_genus_s1.pt,mean,genus,1,0,head,heads.catalase.weight,1,256,1,1.0,1.0,1.0,1.4781
mean_genus_s1.pt,mean,genus,1,0,head,heads.cytochrome_oxidase.weight,1,256,1,1.0,1.0,1.0,1.4066
mean_genus_s1.pt,mean,genus,1,0,head,heads.halophily.weight,4,256,4,3.1747,0.7937,1.7824,1.3239
mean_genus_s1.pt,mean,genus,1,0,head,heads.temperature_class.weight,5,256,5,4.0102,0.802,2.6881,2.2339
mean_genus_s1.pt,mean,genus,1,0,head,heads.ph_class.weight,3,256,3,2.2181,0.7394,1.4006,1.2459
mean_genus_s1.pt,mean,genus,1,0,head,heads.cultivation_medium.weight,200,256,200,8.2953,0.0415,1.6891,28.8021
mean_genus_s1.pt,mean,genus,1,0,head,heads.carbon_utilization.weight,80,256,80,26.0945,0.3262,3.9116,5.0784
mean_genus_s1.pt,mean,genus,1,0,head,heads.metabolite_production.weight,50,256,50,16.1025,0.3221,2.5781,4.8646
mean_genus_s1.pt,mean,genus,1,0,head,heads.amr_phenotype.weight,30,256,30,16.2029,0.5401,4.72,2.9991
mean_genus_s1.pt,mean,genus,1,0,head,heads.biosafety_level.weight,4,256,4,2.8737,0.7184,1.7032,2.8203
mean_genus_s1.pt,mean,genus,1,0,head,heads.pathogenicity_human.weight,1,256,1,1.0,1.0,1.0,1.6547
mean_genus_s1.pt,mean,genus,1,0,head,heads.pathogenicity_animal.weight,1,256,1,1.0,1.0,1.0,1.7322
mean_genus_s1.pt,mean,genus,1,0,head,heads.isolation_source.weight,20,256,20,8.1909,0.4095,2.3379,5.8502
mean_genus_s1.pt,mean,genus,1,0,head,heads.country.weight,100,256,100,14.8326,0.1483,2.2505,14.2642
mean_genus_s1.pt,mean,genus,1,0,head,heads.fatty_acid_profile.weight,30,256,30,24.3013,0.81,11.707,0.4875
mean_genus_s2.pt,mean,genus,2,0,encoder,encoder.0.weight,512,640,512,20.7347,0.0405,5.9001,18.6733
mean_genus_s2.pt,mean,genus,2,0,encoder,encoder.3.weight,256,512,256,40.862,0.1596,7.3417,7.5001
mean_genus_s2.pt,mean,genus,2,0,head,heads.gram_stain.weight,3,256,3,2.4076,0.8025,1.5998,1.7982
mean_genus_s2.pt,mean,genus,2,0,head,heads.cell_shape.weight,7,256,7,5.9406,0.8487,3.5564,1.9414
mean_genus_s2.pt,mean,genus,2,0,head,heads.motility.weight,1,256,1,1.0,1.0,1.0,1.3546
mean_genus_s2.pt,mean,genus,2,0,head,heads.sporulation.weight,1,256,1,1.0,1.0,1.0,1.772
mean_genus_s2.pt,mean,genus,2,0,head,heads.pigmentation.weight,1,256,1,1.0,1.0,1.0,0.7231
mean_genus_s2.pt,mean,genus,2,0,head,heads.oxygen_tolerance.weight,6,256,6,4.7358,0.7893,2.3648,2.2023
mean_genus_s2.pt,mean,genus,2,0,head,heads.catalase.weight,1,256,1,1.0,1.0,1.0,1.4462
mean_genus_s2.pt,mean,genus,2,0,head,heads.cytochrome_oxidase.weight,1,256,1,1.0,1.0,1.0,1.4027
mean_genus_s2.pt,mean,genus,2,0,head,heads.halophily.weight,4,256,4,3.2764,0.8191,1.8924,1.2734
mean_genus_s2.pt,mean,genus,2,0,head,heads.temperature_class.weight,5,256,5,3.9622,0.7924,2.4151,2.1927
mean_genus_s2.pt,mean,genus,2,0,head,heads.ph_class.weight,3,256,3,2.3238,0.7746,1.4685,1.1943
mean_genus_s2.pt,mean,genus,2,0,head,heads.cultivation_medium.weight,200,256,200,8.2431,0.0412,1.6858,27.6732
mean_genus_s2.pt,mean,genus,2,0,head,heads.carbon_utilization.weight,80,256,80,30.156,0.3769,5.1582,4.1284
mean_genus_s2.pt,mean,genus,2,0,head,heads.metabolite_production.weight,50,256,50,16.5603,0.3312,2.5874,4.7006
mean_genus_s2.pt,mean,genus,2,0,head,heads.amr_phenotype.weight,30,256,30,15.868,0.5289,4.3414,3.0911
mean_genus_s2.pt,mean,genus,2,0,head,heads.biosafety_level.weight,4,256,4,2.7496,0.6874,1.6071,2.9423
mean_genus_s2.pt,mean,genus,2,0,head,heads.pathogenicity_human.weight,1,256,1,1.0,1.0,1.0,1.6484
mean_genus_s2.pt,mean,genus,2,0,head,heads.pathogenicity_animal.weight,1,256,1,1.0,1.0,1.0,1.6235
mean_genus_s2.pt,mean,genus,2,0,head,heads.isolation_source.weight,20,256,20,8.5434,0.4272,2.442,5.3161
mean_genus_s2.pt,mean,genus,2,0,head,heads.country.weight,100,256,100,14.6247,0.1462,2.1916,13.7078
mean_genus_s2.pt,mean,genus,2,0,head,heads.fatty_acid_profile.weight,30,256,30,24.7941,0.8265,12.0462,0.4984
mean_species_s0.pt,mean,species,0,0,encoder,encoder.0.weight,512,640,512,21.0157,0.041,5.5674,17.8807
mean_species_s0.pt,mean,species,0,0,encoder,encoder.3.weight,256,512,256,42.063,0.1643,7.33,6.9791
mean_species_s0.pt,mean,species,0,0,head,heads.gram_stain.weight,3,256,3,2.2553,0.7518,1.4506,1.666
mean_species_s0.pt,mean,species,0,0,head,heads.cell_shape.weight,7,256,7,5.898,0.8426,3.0797,1.8976
mean_species_s0.pt,mean,species,0,0,head,heads.motility.weight,1,256,1,1.0,1.0,1.0,1.2471
mean_species_s0.pt,mean,species,0,0,head,heads.sporulation.weight,1,256,1,1.0,1.0,1.0,1.5415
mean_species_s0.pt,mean,species,0,0,head,heads.pigmentation.weight,1,256,1,1.0,1.0,1.0,0.6594
mean_species_s0.pt,mean,species,0,0,head,heads.oxygen_tolerance.weight,6,256,6,3.9735,0.6622,1.8913,2.7188
mean_species_s0.pt,mean,species,0,0,head,heads.catalase.weight,1,256,1,1.0,1.0,1.0,1.2911
mean_species_s0.pt,mean,species,0,0,head,heads.cytochrome_oxidase.weight,1,256,1,1.0,1.0,1.0,1.2637
mean_species_s0.pt,mean,species,0,0,head,heads.halophily.weight,4,256,4,3.2313,0.8078,1.8279,1.3196
mean_species_s0.pt,mean,species,0,0,head,heads.temperature_class.weight,5,256,5,3.906,0.7812,2.1302,2.0301
mean_species_s0.pt,mean,species,0,0,head,heads.ph_class.weight,3,256,3,2.3164,0.7721,1.4675,1.1619
mean_species_s0.pt,mean,species,0,0,head,heads.cultivation_medium.weight,200,256,200,9.0703,0.0454,1.7745,24.1325
mean_species_s0.pt,mean,species,0,0,head,heads.carbon_utilization.weight,80,256,80,29.9036,0.3738,4.7816,4.035
mean_species_s0.pt,mean,species,0,0,head,heads.metabolite_production.weight,50,256,50,19.413,0.3883,2.9086,3.9655
mean_species_s0.pt,mean,species,0,0,head,heads.amr_phenotype.weight,30,256,30,17.0017,0.5667,4.1332,2.91
mean_species_s0.pt,mean,species,0,0,head,heads.biosafety_level.weight,4,256,4,2.9482,0.7371,1.7362,2.4775
mean_species_s0.pt,mean,species,0,0,head,heads.pathogenicity_human.weight,1,256,1,1.0,1.0,1.0,1.3542
mean_species_s0.pt,mean,species,0,0,head,heads.pathogenicity_animal.weight,1,256,1,1.0,1.0,1.0,1.5314
mean_species_s0.pt,mean,species,0,0,head,heads.isolation_source.weight,20,256,20,8.7539,0.4377,2.3591,4.894
mean_species_s0.pt,mean,species,0,0,head,heads.country.weight,100,256,100,14.7749,0.1477,2.2376,12.2633
mean_species_s0.pt,mean,species,0,0,head,heads.fatty_acid_profile.weight,30,256,30,25.087,0.8362,11.7765,0.5242
mean_species_s1.pt,mean,species,1,0,encoder,encoder.0.weight,512,640,512,21.4457,0.0419,5.4963,17.551
mean_species_s1.pt,mean,species,1,0,encoder,encoder.3.weight,256,512,256,42.4594,0.1659,6.7137,7.1248
mean_species_s1.pt,mean,species,1,0,head,heads.gram_stain.weight,3,256,3,2.2896,0.7632,1.5042,1.7163
mean_species_s1.pt,mean,species,1,0,head,heads.cell_shape.weight,7,256,7,5.6678,0.8097,2.8026,1.9533
mean_species_s1.pt,mean,species,1,0,head,heads.motility.weight,1,256,1,1.0,1.0,1.0,1.2266
mean_species_s1.pt,mean,species,1,0,head,heads.sporulation.weight,1,256,1,1.0,1.0,1.0,1.5611
mean_species_s1.pt,mean,species,1,0,head,heads.pigmentation.weight,1,256,1,1.0,1.0,1.0,0.6473
mean_species_s1.pt,mean,species,1,0,head,heads.oxygen_tolerance.weight,6,256,6,4.1447,0.6908,1.9532,2.5724
mean_species_s1.pt,mean,species,1,0,head,heads.catalase.weight,1,256,1,1.0,1.0,1.0,1.2649
mean_species_s1.pt,mean,species,1,0,head,heads.cytochrome_oxidase.weight,1,256,1,1.0,1.0,1.0,1.3364
mean_species_s1.pt,mean,species,1,0,head,heads.halophily.weight,4,256,4,3.182,0.7955,1.8112,1.3691
mean_species_s1.pt,mean,species,1,0,head,heads.temperature_class.weight,5,256,5,3.9234,0.7847,2.1648,2.0411
mean_species_s1.pt,mean,species,1,0,head,heads.ph_class.weight,3,256,3,2.3339,0.778,1.4707,1.1558
mean_species_s1.pt,mean,species,1,0,head,heads.cultivation_medium.weight,200,256,200,8.9136,0.0446,1.749,23.6707
mean_species_s1.pt,mean,species,1,0,head,heads.carbon_utilization.weight,80,256,80,30.1936,0.3774,5.103,3.9197
mean_species_s1.pt,mean,species,1,0,head,heads.metabolite_production.weight,50,256,50,19.0673,0.3813,2.9031,4.0068
mean_species_s1.pt,mean,species,1,0,head,heads.amr_phenotype.weight,30,256,30,17.118,0.5706,4.1037,2.8533
mean_species_s1.pt,mean,species,1,0,head,heads.biosafety_level.weight,4,256,4,3.0199,0.755,1.7655,2.3231
mean_species_s1.pt,mean,species,1,0,head,heads.pathogenicity_human.weight,1,256,1,1.0,1.0,1.0,1.2889
mean_species_s1.pt,mean,species,1,0,head,heads.pathogenicity_animal.weight,1,256,1,1.0,1.0,1.0,1.5881
mean_species_s1.pt,mean,species,1,0,head,heads.isolation_source.weight,20,256,20,9.3576,0.4679,2.6321,4.4201
mean_species_s1.pt,mean,species,1,0,head,heads.country.weight,100,256,100,15.9477,0.1595,2.3313,11.7052
mean_species_s1.pt,mean,species,1,0,head,heads.fatty_acid_profile.weight,30,256,30,25.5935,0.8531,13.9755,0.4742
mean_species_s2.pt,mean,species,2,0,encoder,encoder.0.weight,512,640,512,20.9959,0.041,5.4257,18.1385
mean_species_s2.pt,mean,species,2,0,encoder,encoder.3.weight,256,512,256,43.0046,0.168,7.1559,6.9932
mean_species_s2.pt,mean,species,2,0,head,heads.gram_stain.weight,3,256,3,2.2612,0.7537,1.4631,1.7106
mean_species_s2.pt,mean,species,2,0,head,heads.cell_shape.weight,7,256,7,5.8743,0.8392,2.9741,1.9
mean_species_s2.pt,mean,species,2,0,head,heads.motility.weight,1,256,1,1.0,1.0,1.0,1.1939
mean_species_s2.pt,mean,species,2,0,head,heads.sporulation.weight,1,256,1,1.0,1.0,1.0,1.5075
mean_species_s2.pt,mean,species,2,0,head,heads.pigmentation.weight,1,256,1,1.0,1.0,1.0,0.6694
mean_species_s2.pt,mean,species,2,0,head,heads.oxygen_tolerance.weight,6,256,6,4.0803,0.6801,1.961,2.5907
mean_species_s2.pt,mean,species,2,0,head,heads.catalase.weight,1,256,1,1.0,1.0,1.0,1.2794
mean_species_s2.pt,mean,species,2,0,head,heads.cytochrome_oxidase.weight,1,256,1,1.0,1.0,1.0,1.3607
mean_species_s2.pt,mean,species,2,0,head,heads.halophily.weight,4,256,4,3.247,0.8118,1.8443,1.3227
mean_species_s2.pt,mean,species,2,0,head,heads.temperature_class.weight,5,256,5,3.9065,0.7813,2.3198,2.0739
mean_species_s2.pt,mean,species,2,0,head,heads.ph_class.weight,3,256,3,2.4464,0.8155,1.5614,1.1003
mean_species_s2.pt,mean,species,2,0,head,heads.cultivation_medium.weight,200,256,200,8.7616,0.0438,1.7534,24.0506
mean_species_s2.pt,mean,species,2,0,head,heads.carbon_utilization.weight,80,256,80,29.9013,0.3738,5.0944,3.9596
mean_species_s2.pt,mean,species,2,0,head,heads.metabolite_production.weight,50,256,50,19.5336,0.3907,2.9328,3.8684
mean_species_s2.pt,mean,species,2,0,head,heads.amr_phenotype.weight,30,256,30,17.3254,0.5775,4.1545,2.8614
mean_species_s2.pt,mean,species,2,0,head,heads.biosafety_level.weight,4,256,4,2.9479,0.737,1.7413,2.3581
mean_species_s2.pt,mean,species,2,0,head,heads.pathogenicity_human.weight,1,256,1,1.0,1.0,1.0,1.2996
mean_species_s2.pt,mean,species,2,0,head,heads.pathogenicity_animal.weight,1,256,1,1.0,1.0,1.0,1.541
mean_species_s2.pt,mean,species,2,0,head,heads.isolation_source.weight,20,256,20,8.6461,0.4323,2.3277,4.8851
mean_species_s2.pt,mean,species,2,0,head,heads.country.weight,100,256,100,14.9072,0.1491,2.2721,12.0491
mean_species_s2.pt,mean,species,2,0,head,heads.fatty_acid_profile.weight,30,256,30,25.1634,0.8388,12.9172,0.503
set_transformer_family_s0_balancedfamilies.pt,set_transformer,family,0,1,pool,pool.isab.mab0.fc_q.weight,640,640,640,220.8167,0.345,7.6821,6.0949
