trait,alpha_lo,alpha_hi,alpha_global,n_test,pos_rate_test,probe_f1,probe_auroc,global_f1,global_auroc,adaptive_f1,adaptive_auroc,delta_vs_global_f1,delta_vs_probe_f1
sporulation,0.4,0.4,0.4,809,0.25339925834363414,0.8268575351316427,0.9249878856404457,0.8443641239397208,0.9345420772088516,0.8443641239397208,0.9345420772088516,0.0,0.017506588808078094
motility,0.4,0.6,0.4,1673,0.36282127913927076,0.6364310269107871,0.6959317654258789,0.6561573030261201,0.720841279506446,0.6600062884400067,0.7226927249629865,0.003848985413886674,0.023575261529219627
catalase,0.0,0.4,0.4,1442,0.8176144244105409,0.6863365979246062,0.7926660152155756,0.7255125904171424,0.7968198221732021,0.7094840069879866,0.7902843487262841,-0.016028583429155807,0.02314740906338042
