trait,mode,n_test,pos_rate,esm2_150M_f1,bacformer_f1,d_f1,esm2_150M_auroc,bacformer_auroc,d_auroc
catalase,solved,904,0.7964601769911505,0.6794677185064877,0.6618067156626963,-0.01766100284379135,0.7874849033816426,0.7743131038647343,-0.013171799516908278
cytochrome_oxidase,solved,834,0.6642685851318945,0.7818446670373649,0.7872542313397793,0.00540956430241446,0.8438176895306859,0.8568592057761732,0.013041516245487328
sporulation,solved,525,0.29333333333333333,0.8469514291059875,0.8724270017363183,0.025475572630330734,0.9271887142507089,0.9481394616165506,0.020950747365841682
pigmentation,solved,475,0.7410526315789474,0.4996280315429252,0.5209200937011973,0.021292062158272118,0.5165604212860311,0.5693366592756837,0.052776237989652586
pathogenicity_human,coverage-limited,1350,0.07407407407407407,0.5826213068309574,0.6385542168674698,0.05593291003651246,0.752664,0.7418480000000001,-0.010815999999999937
pathogenicity_animal,coverage-limited,1361,0.05657604702424688,0.5955305248490931,0.59307880043666,-0.0024517244124331317,0.7447606910223733,0.7573633531577457,0.012602662135372422
motility,coverage-limited,1029,0.34207968901846453,0.6279997492372633,0.6294577469917542,0.0014579977544908473,0.6714994293003893,0.676910584799248,0.005411155498858733
