target,group,model,rank,status,n_train,n_test,train_pos_rate,test_pos_rate,acc,macro_f1,precision,recall,auroc,auprc
motility,binary_trait,chance,full,ok,5196,1673,0.4287913779830639,0.36282127913927076,0.6371787208607292,0.389193136181088,0.0,0.0,0.5,0.36282127913927076
motility,binary_trait,logistic_l2,6,ok,5196,1673,0.4287913779830639,0.36282127913927076,0.5774058577405857,0.5773327687340648,0.4540441176470588,0.8138385502471169,0.6773771292395474,0.5201468214576188
motility,binary_trait,logistic_l2,10,ok,5196,1673,0.4287913779830639,0.36282127913927076,0.5756126718469815,0.5756003898746913,0.45209302325581396,0.800658978583196,0.6636288330948192,0.4954771497574146
motility,binary_trait,logistic_l2,25,ok,5196,1673,0.4287913779830639,0.36282127913927076,0.6246264196054991,0.6175860813860377,0.48748510131108463,0.6738056013179572,0.6962099458784474,0.5612123377878864
motility,binary_trait,sgd_logistic,6,ok,5196,1673,0.4287913779830639,0.36282127913927076,0.5517035265989241,0.5435945002182453,0.4151838671411625,0.5766062602965404,0.5909603716490847,0.445886423284259
motility,binary_trait,sgd_logistic,10,ok,5196,1673,0.4287913779830639,0.36282127913927076,0.5582785415421399,0.5564300488112899,0.4311064718162839,0.6803953871499177,0.6210115877612965,0.49938103813342394
motility,binary_trait,sgd_logistic,25,ok,5196,1673,0.4287913779830639,0.36282127913927076,0.6174536760310819,0.616318503802701,0.48307692307692307,0.7759472817133443,0.6875654883148756,0.5253808525715328
motility,binary_trait,regularized_rf,6,ok,5196,1673,0.4287913779830639,0.36282127913927076,0.6317991631799164,0.6257325062827757,0.4947245017584994,0.6952224052718287,0.6969548513125481,0.5490907216143399
motility,binary_trait,regularized_rf,10,ok,5196,1673,0.4287913779830639,0.36282127913927076,0.6539151225343693,0.6344560409640545,0.5205882352941177,0.5831960461285008,0.7057963533633562,0.5740237257811216
motility,binary_trait,regularized_rf,25,ok,5196,1673,0.4287913779830639,0.36282127913927076,0.6688583383144052,0.642408823783597,0.5433715220949263,0.5469522240527183,0.7166917544222965,0.5859982662067997
motility,binary_trait,hist_gd,6,ok,5196,1673,0.4287913779830639,0.36282127913927076,0.630005977286312,0.624421674289426,0.49303944315545245,0.700164744645799,0.6981425273003206,0.5451318029160593
motility,binary_trait,hist_gd,10,ok,5196,1673,0.4287913779830639,0.36282127913927076,0.6515242080095637,0.6344074051167873,0.5170454545454546,0.5996705107084019,0.6928686895537057,0.5502040221313289
motility,binary_trait,hist_gd,25,ok,5196,1673,0.4287913779830639,0.36282127913927076,0.6467423789599522,0.6255506007328089,0.5119760479041916,0.5634266886326195,0.6980057552444743,0.5615549435474285
motility,binary_trait,poly2_logistic,6,ok,5196,1673,0.4287913779830639,0.36282127913927076,0.5911536162582187,0.5904159365013916,0.46130653266331656,0.7561779242174629,0.6780694894770517,0.5062591545361224
motility,binary_trait,poly2_logistic,10,ok,5196,1673,0.4287913779830639,0.36282127913927076,0.6054991034070532,0.5999521759923482,0.46950517836593786,0.6721581548599671,0.6800754796294637,0.5304413757019126
motility,binary_trait,poly2_logistic,25,ok,5196,1673,0.4287913779830639,0.36282127913927076,0.6306037059175135,0.6068780018920095,0.4916030534351145,0.5304777594728172,0.6583217682385922,0.5264450274605095
motility,binary_trait,soft_vote_ensemble,fixed,ok,5196,1673,0.4287913779830639,0.36282127913927076,0.6461446503287508,0.6412711198940637,0.5086107921928817,0.729818780889621,0.7314507728780241,0.5915628433828695
sporulation,binary_trait,chance,full,ok,2473,809,0.40962393853619083,0.25339925834363414,0.7466007416563659,0.42745930644019814,0.0,0.0,0.5,0.25339925834363414
sporulation,binary_trait,logistic_l2,6,ok,2473,809,0.40962393853619083,0.25339925834363414,0.7478368355995055,0.7209778859809293,0.5014164305949008,0.8634146341463415,0.8238329833629463,0.5008244428105261
sporulation,binary_trait,logistic_l2,10,ok,2473,809,0.40962393853619083,0.25339925834363414,0.7663782447466008,0.7340653301029468,0.5248447204968945,0.824390243902439,0.8322888063317719,0.5105959788396528
sporulation,binary_trait,logistic_l2,25,ok,2473,809,0.40962393853619083,0.25339925834363414,0.8553770086526576,0.8211276255988208,0.676,0.824390243902439,0.9225730899693103,0.7837330067894718
sporulation,binary_trait,sgd_logistic,6,ok,2473,809,0.40962393853619083,0.25339925834363414,0.7280593325092707,0.7020557117985804,0.4794520547945205,0.8536585365853658,0.80843967048942,0.4998185623183352
sporulation,binary_trait,sgd_logistic,10,ok,2473,809,0.40962393853619083,0.25339925834363414,0.7317676143386898,0.6946676012293094,0.4813664596273292,0.7560975609756098,0.7850872233887901,0.4386080291122654
