trait,group,n_test,pos_rate,auroc,spearman_ood_error,p_value
motility,machinery,1673,0.36282127913927076,0.6960399467129889,-0.008133926188781237,0.7395469901460725
sporulation,machinery,809,0.25339925834363414,0.9250121143595542,0.14247997523279315,4.761250001459171e-05
catalase,compositional,1442,0.8176144244105409,0.7924709023887615,-0.017633634990783142,0.503441093185179
cytochrome_oxidase,compositional,1352,0.6760355029585798,0.8369428374449206,0.05618192188004278,0.03887525385346742
pigmentation,compositional,758,0.7361477572559367,0.5000358422939069,-0.0406113074065233,0.26411497678135726
pathogenicity_animal,other,2172,0.04419889502762431,0.7737987716763005,-0.1998544289212487,5.261674531545604e-21
pathogenicity_human,other,2158,0.061167747914735865,0.7607466570941398,-0.11919765689567663,2.7945582102269583e-08
