trait,n_train,n_test,test_families,test_pos_rate,mean_nearest_train_family_cos,p10_nearest_train_family_cos,mean_top1_train_genome_cos,mean_top10_train_genome_cos,knn_f1,knn_auroc,probe_f1,probe_auroc,spearman_centroid_cos_probe_error,p_centroid_cos_probe_error,spearman_top1_cos_probe_error,p_top1_cos_probe_error,spearman_topk_cos_knn_error,p_topk_cos_knn_error,verdict
motility,5196,1673,148,0.36282127913927076,0.8459319672638844,0.7259056836286959,0.8536035539884359,0.8229069462136696,0.6246077489057158,0.6949612247358059,0.6426540689281316,0.7282285159691034,0.007141225231243772,0.7703798246789673,-0.04599171550638827,0.06000495531544495,-0.06693960903911801,0.006162420670600223,mixed/weak cosine-error link
sporulation,2473,809,112,0.25339925834363414,0.8495487065109131,0.7135409297607471,0.8495683188090124,0.8130103703518143,0.8345539435098008,0.9241560329510581,0.815457181121135,0.9346309158455823,0.2195035861229304,2.7761177095044e-10,0.33591093143100875,8.661018716248939e-23,0.014797143944847466,0.6743055309679349,mixed/weak cosine-error link
catalase,4712,1442,109,0.8176144244105409,0.8453900755365442,0.7202714882265717,0.8504079030443855,0.8206985671142999,0.6907204509282756,0.7643278927492203,0.7133770622142716,0.816510092654405,-0.10676138245989278,4.860802446611011e-05,-0.06278924214149886,0.017096595859399533,-0.22515748830452167,4.9726510907637725e-18,coverage/geometry-limited
