trait,bin,n,mean_centroid_cos,pos_rate,knn_f1,knn_auroc,probe_f1,probe_auroc
motility,low,558,0.7433667441247875,0.34587813620071683,0.5799483518152818,0.6631414578749378,0.639179872862387,0.7325573142167648
motility,mid,557,0.8670141733290677,0.400359066427289,0.6035457751077447,0.6652278402835583,0.6058261838980176,0.7081711017427029
motility,high,558,0.9274527660690978,0.34229390681003585,0.687708146203275,0.7527212291538867,0.6751262626262626,0.7372926088135013
sporulation,low,270,0.7414213554685548,0.22962962962962963,0.8075046904315197,0.9265663771712158,0.8596256684491979,0.9464174937965261
sporulation,mid,269,0.8746611532648407,0.18587360594795538,0.7871516862342551,0.9035616438356163,0.7920803852785541,0.921095890410959
sporulation,high,270,0.9326566198613955,0.34444444444444444,0.8771628582749967,0.9224530708948424,0.7822919466410152,0.9280116639329323
catalase,low,481,0.7415579600728422,0.7941787941787942,0.5979184464592462,0.7693426410703896,0.7040188423018163,0.864984927812153
catalase,mid,480,0.8658005048883105,0.8208333333333333,0.6853872053872054,0.7441122653759887,0.6828146351790905,0.7808110022429465
catalase,high,481,0.9288541949735353,0.8378378378378378,0.7859101267625694,0.7553445313991219,0.7500169472376003,0.7849780492460393
