trait,alpha_star,n_train,n_val,n_test,pos_rate_test,probe_f1,probe_auroc,knn_f1,knn_auroc,blend_f1,blend_auroc,delta_f1
sporulation,0.4,2473,896,809,0.25339925834363414,0.8268575351316427,0.9249878856404457,0.8196676961063556,0.9147835567759652,0.8443641239397208,0.9345420772088516,0.017506588808078094
motility,0.4,5196,1830,1673,0.36282127913927076,0.6364310269107871,0.6959317654258789,0.6266357383900615,0.6925395093514997,0.6561573030261201,0.720841279506446,0.019726276115332952
catalase,0.4,4712,1573,1442,0.8176144244105409,0.6863365979246062,0.7926660152155756,0.6900881361279255,0.7457792741802843,0.7255125904171424,0.7968198221732021,0.03917599249253623
