trait,trait_class,head_type,audit_labeled_genomes,top10_share,gini,n80,n_nonzero_features,normalized_entropy,sparse_top10_share,sparse_gini,sparse_n80,sparse_n_nonzero_features,sparse_normalized_entropy,sparse_macro_f1,sparse_n_train,sparse_n_test,sparse_n_nonzero_coefficients,localization_score,localization_n80,localization_source,species_attention_gain,genus_attention_gain,family_attention_gain
motility,compositional,binary,3617,0.0027141588925823114,0.4098254994917796,13115,24854,0.9717985500007044,0.011207739446838987,0.4965582811156702,2641.0,5943.0,0.9519245985548508,0.7849961425181377,1535.0,1059.0,5943.0,0.011207739446838987,2641,sparse_linear,0.06410046969377314,0.034311785202389644,0.018538123552984564
biosafety_level,machinery,multiclass,6223,0.0026683327498826215,0.44948821776866554,11833,24854,0.9667859902285428,0.01205250324421032,0.5009363419833103,2800.0,6379.0,0.9514242013567809,0.7919452619928056,2666.0,1798.0,6379.0,0.01205250324421032,2800,sparse_linear,0.036593382146310915,0.05021095254593716,-0.0054808407231692335
ph_class,compositional,multiclass,1854,0.002586057895200928,0.36928516771727976,13512,24843,0.977833709124337,0.004574745981469879,0.505767278347615,8975.0,20606.0,0.956016251620432,0.5743077951131642,624.0,610.0,20606.0,0.004574745981469879,8975,sparse_linear,0.021458866333506466,0.01220157608583572,0.0888780920891506
pathogenicity_animal,machinery,binary,5511,0.0024264611689079883,0.4244880782196278,12518,24854,0.9705432048671035,0.009398556165346387,0.5050209525312239,3737.0,8561.0,0.9519923272342758,0.7733289696106966,2224.0,1659.0,8561.0,0.009398556165346387,3737,sparse_linear,0.3376119292681733,0.29796646627840434,0.051043352218362925
catalase,compositional,binary,3178,0.0022907161545789585,0.42480108274435,12891,24853,0.9700742435858453,0.012871198541705275,0.49672587525771217,2932.0,6609.0,0.9521989076409278,0.8419562267712819,1426.0,893.0,6609.0,0.012871198541705275,2932,sparse_linear,0.0035815294910199746,0.0004623429133778778,-0.0014875001366413398
pathogenicity_human,machinery,binary,5409,0.0022089602169761712,0.46939010442114387,11471,24854,0.9636931262771644,0.010585753123370196,0.5080034527238788,3127.0,7229.0,0.9507774140934384,0.6790971106952897,2198.0,1620.0,7229.0,0.010585753123370196,3127,sparse_linear,0.2074663808926904,0.1279552745215088,0.027796028873208325
temperature_class,compositional,multiclass,6693,0.0021011957701330955,0.3494740214349846,14314,24854,0.9803152058168714,0.003710442158166676,0.48972226366867877,10701.0,23512.0,0.9594927179702338,0.5301640729191881,2956.0,1888.0,23512.0,0.003710442158166676,10701,sparse_linear,0.013663232527353075,-0.0015956765483216007,-0.006835009996707775
cell_shape,compositional,multiclass,3723,0.0019004774380639554,0.41458011544738893,12736,24854,0.9724728475997062,,,,,,,,,,0.0019004774380639554,12736,univariate,0.014723245650847816,0.01720656447875088,0.002077242889724329
cytochrome_oxidase,compositional,binary,3129,0.001889698840145751,0.4148238747399696,12688,24853,0.9717369373487484,0.011839685081016252,0.5031753113026556,2611.0,5990.0,0.9507748437563421,0.8221030470914127,1442.0,854.0,5990.0,0.011839685081016252,2611,sparse_linear,0.031543238769128124,-0.0017095460178815358,-0.006539746391025281
pigmentation,compositional,binary,1651,0.0018078167987655056,0.46621489987942616,11494,24852,0.964070077558777,0.005676838582975389,0.5037452695098464,5475.0,12582.0,0.9546621668086911,0.5317078087899288,602.0,543.0,12582.0,0.005676838582975389,5475,sparse_linear,0.009186745754784953,0.00666939882964912,-0.0005874458572243668
oxygen_tolerance,compositional,multiclass,4736,0.0018045241725734283,0.365162270122358,14131,24854,0.9776445893795491,,,,,,,,,,0.0018045241725734283,14131,univariate,0.004109089240496355,0.028040833225200346,-0.03155780102112399
gram_stain,compositional,multiclass,3820,0.0017196377025979202,0.34815605957981915,14369,24854,0.9802360560711857,0.004341857192764145,0.5531630684295024,8544.0,21412.0,0.9465306904578233,0.6575931731104144,1612.0,1126.0,21412.0,0.004341857192764145,8544,sparse_linear,0.002330036930890511,0.0005993773322651164,0.008086691127243473
sporulation,compositional,binary,1705,0.0015567109792517656,0.4090742946306748,13132,24850,0.9728901930710051,0.006091135600297669,0.4858142133249787,4451.0,10046.0,0.9574946657233336,0.9407352941176472,620.0,558.0,10046.0,0.006091135600297669,4451,sparse_linear,0.0214678841797995,0.027103151752311705,0.023015248207440275
halophily,compositional,multiclass,2251,0.0015484920130936254,0.3238796300187435,14558,24854,0.9832452694795691,0.005130322255867147,0.5133670096601234,8207.0,19156.0,0.954306036261593,0.4751479597799322,864.0,717.0,19156.0,0.005130322255867147,8207,sparse_linear,0.040339738044369355,0.050205207199056245,0.0002623712808491052
country,metadata,multiclass,5822,0.0013447449719861835,0.21500717109469417,16825,24854,0.9926833475969379,,,,,,,,,,0.0013447449719861835,16825,univariate,0.0009528197147102846,-0.0008580266415090416,0.0008380473657493975
isolation_source,metadata,multiclass,6512,0.0012571558167487878,0.3184652159267851,14875,24824,0.9841366134015433,,,,,,,,,,0.0012571558167487878,14875,univariate,0.019156722438620932,-0.003472768063315812,0.018113326032339117
