trait,test_pos_rate,auroc,macro_f1,auroc_minus_f1,positive_gini,top5_family_share,recall_no_coverage,n_pos_no_coverage,recall_high_coverage,n_pos_high_coverage
pathogenicity_human,0.061167747914735865,0.7607466570941399,0.5814811473931084,0.1792655097010315,0.9022941970310391,0.42606516290726815,0.10810810810810811,37,0.72,25
pathogenicity_animal,0.04419889502762431,0.7732016698779703,0.5686669666659757,0.20453470321199463,0.903307266210492,0.4032258064516129,0.17647058823529413,34,0.6071428571428571,28
motility,0.36282127913927076,0.6959317654258789,0.6364310269107871,0.059500738515091744,0.8454013849705052,0.44434470377019747,0.0,9,0.6309751434034416,523
