medium,auroc,f1_naive,f1_tuned,f1_pu,pu_precision,pu_recall,c,threshold,n_pos_test,n_test
65,0.9749488695379875,0.7958412098298676,0.7995971802618329,0.8989628395907526,0.9843506898693113,0.8272065164593522,0.8383371829986572,0.7170783877372742,478,3471
92,0.8917564757042918,0.4182242990654206,0.4448,0.658100880032367,1.0,0.4904250030719452,0.6741940975189209,0.7418646812438965,246,3471
693,0.8743433968574682,0.4313725490196078,0.4662576687116564,0.6146904077218421,1.0,0.44372060306821126,0.6694313883781433,0.7423087954521179,273,3471
1,0.8580588362120595,0.3795110593713621,0.3725231175693527,0.7271237974339276,1.0,0.5712447101831839,0.5909620523452759,0.6330240368843079,260,3471
514,0.9268025654168222,0.6482504604051565,0.6659217877094973,0.7480846814640975,1.0,0.5975521430147305,0.7589330077171326,0.8207318782806396,457,3471
830,0.8343294351609865,0.4153705397987191,0.4180522565320665,0.6282635109022284,1.0,0.4580059770192849,0.5887698531150818,0.7275269031524658,366,3471
535,0.7782052470566423,0.33460803059273425,0.33620689655172414,0.6674455247901117,1.0,0.500876727523641,0.49709445238113403,0.5920901894569397,322,3471
84,0.967418843300585,0.5747663551401869,0.5707762557077626,0.867719974708568,0.9227958471234018,0.818848089302761,0.736631453037262,0.4595363438129425,166,3471
220,0.8569009612840639,0.27408993576017127,0.22857142857142856,0.38893184944335696,1.0,0.24141241282001413,0.45738840103149414,0.8506972193717957,136,3471
104,0.9277511554107298,0.45320197044334976,0.45614035087719296,0.8036760814823322,1.0,0.6717880241650147,0.48288971185684204,0.5228933691978455,141,3471
252,0.9370314137532583,0.36947791164658633,0.3554006968641115,0.8342377134163264,0.964199850559066,0.7351488057963644,0.48819616436958313,0.3371545076370239,88,3471
381,0.6262229971907392,0.046875,0.0,0.09429785678018696,1.0,0.04948194927296683,0.14827822148799896,0.9394656419754028,30,3471
11,0.9881701948541664,0.763157894736842,0.7596899224806203,0.8286244304153891,1.0,0.7073943250406298,0.8701503276824951,0.9253667593002319,67,3471
553,0.9315941906730215,0.31358885017421606,0.28947368421052627,0.8688013541861863,0.9465072059982402,0.8028864073226517,0.3886047601699829,0.22937031090259552,84,3471
215,0.6626150890905478,0.08645533141210375,0.023255813953488372,0.05777097142848131,1.0,0.02974467510197344,0.22489449381828308,0.9857499599456787,62,3471
554,0.9403283940728874,0.3076923076923077,0.32432432432432434,0.549534596223953,1.0,0.3788677722290586,0.4726896584033966,0.848057746887207,66,3471
645,0.9957790490841786,0.7681159420289856,0.7889908256880733,0.7647983093472909,1.0,0.6191687682544814,0.8968853950500488,0.9482728242874146,61,3471
110,0.9419472913616398,0.23783783783783785,0.248,0.8581880466317544,0.908806593458222,0.812910692515878,0.475628137588501,0.23346085846424103,56,3471
1203,0.920189371910439,0.18045112781954886,0.17582417582417584,0.4733340020161006,1.0,0.31004424192402336,0.3076997697353363,0.8117382526397705,32,3471
78,0.9460199558438447,0.1696969696969697,0.14977973568281938,0.8677210845202449,0.9054988244573531,0.8329693025866032,0.4370885491371155,0.22927828133106232,34,3471
545,0.7260037620808198,0.06369426751592357,0.07228915662650602,0.4661866475724927,1.0,0.30393962005525443,0.13850952684879303,0.47836822271347046,45,3471
58,0.9793229557389347,0.6129032258064516,0.6,0.6049682499834594,1.0,0.43365912637922865,0.7978135943412781,0.9511606097221375,31,3471
339,0.9137585787879305,0.14754098360655737,0.14285714285714285,0.44186629438450353,1.0,0.2835868916717624,0.3075553774833679,0.6780688166618347,34,3471
