split,seed,head,metric,train,test,gap
genus,1,carbon_utilization,f1,0.5787,0.5257,0.053
genus,1,metabolite_production,f1,0.143,0.0727,0.0703
genus,1,amr_phenotype,f1,0.5056,0.3495,0.1561
genus,1,biosafety_level,acc,0.8522,0.9095,-0.0572
genus,1,pathogenicity_human,acc,0.8926,0.9339,-0.0413
genus,1,pathogenicity_animal,acc,0.9031,0.9412,-0.0381
genus,1,isolation_source,acc,0.6381,0.5585,0.0796
genus,1,country,acc,0.2392,0.2245,0.0147
genus,1,fatty_acid_profile,rmse,0.0775,0.0947,-0.0172
genus,2,gram_stain,acc,0.9686,0.9612,0.0074
genus,2,cell_shape,acc,0.8702,0.805,0.0651
genus,2,motility,acc,0.8288,0.7058,0.123
genus,2,sporulation,acc,0.9582,0.9142,0.044
genus,2,pigmentation,acc,0.7205,0.7086,0.0119
genus,2,oxygen_tolerance,acc,0.8228,0.8298,-0.007
genus,2,catalase,acc,0.9248,0.8967,0.0281
genus,2,cytochrome_oxidase,acc,0.8562,0.8296,0.0266
genus,2,halophily,acc,0.719,0.6797,0.0392
genus,2,temperature_class,acc,0.974,0.9589,0.0151
genus,2,ph_class,acc,0.653,0.6564,-0.0034
genus,2,cultivation_medium,f1,0.3269,0.2481,0.0788
genus,2,carbon_utilization,f1,0.5834,0.5325,0.0509
genus,2,metabolite_production,f1,0.157,0.0922,0.0647
genus,2,amr_phenotype,f1,0.5171,0.3552,0.1619
genus,2,biosafety_level,acc,0.8511,0.905,-0.0539
genus,2,pathogenicity_human,acc,0.8921,0.9335,-0.0414
genus,2,pathogenicity_animal,acc,0.9017,0.9334,-0.0317
genus,2,isolation_source,acc,0.6435,0.5565,0.087
genus,2,country,acc,0.2356,0.2257,0.0099
genus,2,fatty_acid_profile,rmse,0.0757,0.0925,-0.0168
family,0,gram_stain,acc,0.9642,0.9518,0.0124
family,0,cell_shape,acc,0.8585,0.796,0.0625
family,0,motility,acc,0.8147,0.6981,0.1165
family,0,sporulation,acc,0.9523,0.9036,0.0487
family,0,pigmentation,acc,0.7324,0.7361,-0.0038
family,0,oxygen_tolerance,acc,0.7936,0.8589,-0.0653
family,0,catalase,acc,0.9217,0.8731,0.0486
family,0,cytochrome_oxidase,acc,0.8503,0.8395,0.0108
family,0,halophily,acc,0.7331,0.6649,0.0682
family,0,temperature_class,acc,0.9706,0.9494,0.0211
family,0,ph_class,acc,0.6467,0.6059,0.0408
family,0,cultivation_medium,f1,0.3077,0.1511,0.1567
family,0,carbon_utilization,f1,0.5939,0.4962,0.0977
family,0,metabolite_production,f1,0.1663,0.079,0.0873
family,0,amr_phenotype,f1,0.4876,0.3331,0.1545
family,0,biosafety_level,acc,0.8549,0.8633,-0.0084
family,0,pathogenicity_human,acc,0.8883,0.9184,-0.0301
family,0,pathogenicity_animal,acc,0.9011,0.9498,-0.0487
family,0,isolation_source,acc,0.6308,0.605,0.0258
family,0,country,acc,0.2188,0.2288,-0.0101
family,0,fatty_acid_profile,rmse,0.0824,0.1016,-0.0192
family,1,gram_stain,acc,0.9647,0.9529,0.0119
family,1,cell_shape,acc,0.8585,0.8025,0.056
family,1,motility,acc,0.8135,0.6952,0.1184
family,1,sporulation,acc,0.9547,0.9085,0.0462
family,1,pigmentation,acc,0.7304,0.7388,-0.0084
family,1,oxygen_tolerance,acc,0.7889,0.8548,-0.0659
family,1,catalase,acc,0.9202,0.8724,0.0478
family,1,cytochrome_oxidase,acc,0.8522,0.8395,0.0127
family,1,halophily,acc,0.7328,0.6632,0.0696
family,1,temperature_class,acc,0.9703,0.9565,0.0138
family,1,ph_class,acc,0.6521,0.5941,0.058
family,1,cultivation_medium,f1,0.298,0.1228,0.1752
family,1,carbon_utilization,f1,0.5715,0.4795,0.092
family,1,metabolite_production,f1,0.15,0.0784,0.0717
family,1,amr_phenotype,f1,0.4707,0.3411,0.1296
family,1,biosafety_level,acc,0.8575,0.8633,-0.0057
family,1,pathogenicity_human,acc,0.8915,0.9143,-0.0227
family,1,pathogenicity_animal,acc,0.9027,0.9549,-0.0522
family,1,isolation_source,acc,0.6251,0.61,0.0151
family,1,country,acc,0.2189,0.2193,-0.0004
family,1,fatty_acid_profile,rmse,0.0764,0.0971,-0.0207
family,2,gram_stain,acc,0.9647,0.9545,0.0102
family,2,cell_shape,acc,0.8553,0.8007,0.0546
family,2,motility,acc,0.8139,0.6934,0.1205
family,2,sporulation,acc,0.9539,0.9073,0.0466
family,2,pigmentation,acc,0.7299,0.7335,-0.0036
family,2,oxygen_tolerance,acc,0.7923,0.8626,-0.0703
family,2,catalase,acc,0.9208,0.8703,0.0505
family,2,cytochrome_oxidase,acc,0.8579,0.8425,0.0155
family,2,halophily,acc,0.7299,0.6571,0.0727
family,2,temperature_class,acc,0.9683,0.9453,0.023
family,2,ph_class,acc,0.641,0.6101,0.0309
family,2,cultivation_medium,f1,0.3084,0.1328,0.1756
family,2,carbon_utilization,f1,0.5865,0.489,0.0975
family,2,metabolite_production,f1,0.1584,0.0803,0.0782
family,2,amr_phenotype,f1,0.4818,0.3619,0.1199
family,2,biosafety_level,acc,0.8546,0.8603,-0.0057
family,2,pathogenicity_human,acc,0.8914,0.911,-0.0197
family,2,pathogenicity_animal,acc,0.9027,0.9457,-0.043
family,2,isolation_source,acc,0.6358,0.595,0.0408
family,2,country,acc,0.2231,0.2295,-0.0064
family,2,fatty_acid_profile,rmse,0.0801,0.0999,-0.0198
